Title,Capacity management,Change Management,Financial management,Governance,Monitoring and control,Risk management,Stakeholder management,Strategic alignment,Value management
"Quality, IT and Business Operations Modeling and Optimization conference, 2018",7.82,9.86,8.4,8.85,7.23,6.68,10.82,5.4,8.56
The era of big data and path towards sustainability,6.41,8.45,6.36,6.54,5.96,5.98,7.36,5.03,8.07
"18th International Conference on Software Process Improvement and Capability Determination, SPICE 2018",5.01,6.34,8.91,5.77,5.74,6.15,6.93,5.52,8.31
"Agile values or plan-driven aspects: Which factor contributes more toward the success of data warehousing, business intelligence, and analytics project development?",5.81,7.75,6.87,10.0,5.53,4.57,6.49,4.91,6.11
Ambidextrous organization and agility in big data era: The role of business process management systems,6.81,9.86,7.12,9.62,6.17,6.68,8.23,6.13,8.8
Developments in knowledge discovery processes and methodologies: Anything new?,4.61,6.34,4.58,5.0,4.04,3.34,4.76,3.44,4.65
"4th International Conference on Big Data and Information Analytics: Theories, Algorithms and Applications in Data Science, BigDIA 2018",4.41,7.04,4.58,3.08,5.96,3.87,3.9,3.68,4.65
Ad hoc data analytics and business intelligence service framework for construction projects,5.21,9.86,5.85,6.15,5.96,4.75,5.19,5.03,5.38
Building a rig state classifier using supervised machine learning to support invisible lost time analysis,5.61,7.75,7.12,6.54,7.45,6.5,8.23,5.64,8.31
How digital technology can transform Steel and metals value chains,2.0,4.23,2.04,1.92,2.13,2.99,2.16,1.96,1.96
Metric based cloud infrastructure monitoring,3.41,2.82,6.11,4.23,4.47,4.39,5.19,3.31,4.89
Threat intelligence computing,4.01,1.41,6.87,3.85,4.89,4.75,5.19,4.05,5.87
Creating value from business intelligence and analytics in SMEs: Insights from experts,6.81,9.15,7.12,8.85,6.38,5.45,7.79,5.77,8.56
The Agile Deployment of Machine Learning Models in Healthcare,3.61,2.11,5.09,4.62,5.11,4.75,3.9,4.42,5.13
"Joint Proceedings of the AHFE 2018 International Conference on Human Factors in Artificial Intelligence and Social Computing, Software and Systems Engineering, The Human Side of Service Engineering and Human Factors in Energy, 2018",6.21,9.15,8.4,8.85,7.02,8.08,7.36,6.5,7.58
"Artificial intelligence, big data, strategic flexibility, agility, and organizational resilience: A conceptual framework based on existing literature",5.21,7.04,5.6,7.31,4.68,5.45,4.33,4.17,5.62
Exploring collaborative writing of user stories with multimodal learning analytics: A case study on a software engineering course,5.41,4.23,5.09,8.08,6.17,6.68,7.79,4.42,7.58
Real-time drilling advisor appstore – An agile development and deployment program,8.02,11.27,7.89,7.31,7.87,7.21,9.09,6.87,9.54
ESP well and component failure prediction in advance using engineered analytics - A breakthrough in minimizing unscheduled subsurface deferments,8.82,8.45,10.18,7.69,9.36,8.26,6.93,7.24,9.54
Chasing the Crowd: Digital Transformations and the Digital Driven System Design Paradigm,8.62,10.56,8.65,12.69,8.09,8.26,10.82,7.61,9.78
Predictive Simulation Modeling and Analytics of Value Stream Mapping for the Implementation of Lean Manufacturing: A Case Study of Small and Medium-Sized Enterprises (SMEs),2.4,0.7,4.58,5.38,4.47,3.34,3.9,2.82,4.89
Digital employee experience engagement paradox: Futureproofing retention practice,4.41,4.93,4.07,4.62,4.89,4.57,5.19,3.93,4.4
Growing smart farming services: How to get the best out of farming data,5.61,7.04,6.87,8.46,7.02,5.62,6.93,4.66,7.09
Automated VNF Testing with Gym: A Benchmarking Use Case,3.21,4.23,3.31,2.69,3.4,3.16,4.33,2.7,3.42
"15th International Conference on Information Technology: New Generations, ITNG 2018",5.41,7.04,6.87,8.08,7.23,6.68,9.09,5.15,6.85
A model for software development cost estimation with system dynamic approach,6.41,7.75,9.41,8.46,6.38,6.15,3.03,5.28,6.36
ACT Testbot and 4S Quality Metrics in XAAS Framework,7.01,4.23,5.85,8.08,7.02,6.33,7.79,5.64,8.07
Content-based multimedia analytics: US and NATO research,6.01,7.04,8.14,8.46,5.11,6.68,7.79,6.01,8.31
Smart hospitality—Interconnectivity and interoperability towards an ecosystem,5.01,6.34,7.12,8.08,5.74,4.22,9.09,4.42,6.36
"8th International Conference on the Economies of the Balkan and Eastern European Countries in the Changing World, EBEEC 2016",7.82,13.38,8.14,9.62,8.09,6.15,8.66,5.77,9.54
"Digital assurance for oil and gas 4.0: Role, implementation and case studies",9.82,7.04,10.43,10.38,8.51,9.67,13.85,8.22,11.49
Leading Growth through the Digital Leader,5.61,6.34,5.09,6.92,5.74,4.75,4.76,5.15,4.89
Advanced Customer Analytics: Strategic Value Through Integration of Relationship-Oriented Big Data,6.21,10.56,6.36,8.85,7.02,5.8,7.79,6.99,7.58
A knowledge management and sharing business model for dealing with disruption: The case of Aramex,4.81,7.75,5.85,4.62,3.62,3.69,7.79,3.8,4.4
Midas: Towards an Interactive Data Catalog,2.4,2.82,2.29,2.31,2.98,2.46,3.46,2.58,2.69
Real-time detection of under-reamer failure: An example of agile data analytics development and deployment,7.62,7.04,6.36,9.23,7.87,7.56,4.33,6.38,8.56
Technology adoption in the SME sector for promoting agile manufacturing practices,4.81,5.63,5.34,6.92,5.32,4.75,5.19,4.54,5.62
Sprint performance forecasts in agile software development: The effect of futurespectives on team-driven dynamics,4.81,4.93,6.62,6.15,5.11,6.5,6.06,4.66,6.85
The design and evaluation of an antimicrobial resistance surveillance system for neonatal intensive care units in Iran,7.82,10.56,10.69,9.62,8.09,8.44,9.52,6.87,10.27
Smart learning analytics: Conceptual modeling and agile engineering,4.01,3.52,5.85,6.54,4.68,5.62,5.19,4.17,5.13
Implementing self-service business analytics supporting lean manufacturing: A state-of-the-art review,4.81,7.04,5.34,5.77,5.53,4.22,5.19,3.93,5.87
Business Intelligence for Small and Medium-Sized Enterprises: An Agile Roadmap toward Business Sustainability,7.62,9.86,8.65,12.31,7.23,7.38,8.23,5.77,10.51
A predictive government decision based on citizen opinions - tools & results,3.61,4.93,4.58,5.38,3.83,3.34,3.9,3.56,5.13
Digital lean cyber-physical production systems: The emergence of digital lean manufacturing and the significance of digital waste,3.61,3.52,3.31,4.62,3.62,3.69,4.33,2.7,3.91
Real-time bit wear monitoring and prediction using surface mechanics data analytics: A step toward digitization through agile development,7.21,10.56,8.91,8.46,8.3,7.73,7.79,6.5,8.56
Conceptual Modeling Education as a “Design Problem”,4.01,4.93,4.83,6.15,4.68,4.75,5.63,3.8,4.89
Information technology integration for accelerated knowledge sharing practices: Challenges and prospects for small and medium enterprise,7.01,11.27,8.91,11.54,6.17,7.03,8.66,6.01,9.54
Evolving Green Chemistry Metrics into Predictive Tools for Decision Making and Benchmarking Analytics,3.81,3.52,5.34,5.38,3.83,4.39,5.63,3.07,6.11
New Trends in Mobile Technologies Education in Slovakia: An Empirical Study,6.41,3.52,7.12,6.92,5.96,6.68,6.06,4.91,7.09
A quality model for actionable analytics in rapid software development,6.01,4.23,6.87,7.31,5.32,6.33,7.79,5.64,7.58
Building novel capabilities to enable business intelligence agility: results from a quantitative study,6.41,9.86,8.91,9.62,6.81,6.5,10.82,5.52,10.27
Application of Lean principles and software solutions for maintenance records in continuing airworthiness management organisations,4.61,2.82,5.09,5.0,5.74,4.75,3.03,3.93,5.38
Big Data: A Tutorial-Based Approach,4.61,5.63,4.07,3.46,3.83,2.99,4.76,3.56,6.11
"3rd International Conference of Reliable Information and Communication Technology, IRICT 2018",6.41,7.75,10.94,7.69,9.57,7.73,7.79,7.48,7.09
How does open government data driven co-creation occur? Six factors and a ‘perfect storm’; insights from Chicago's food inspection forecasting model,5.41,4.23,4.83,8.08,4.47,4.92,7.79,4.79,6.11
Big data framework for agile business (BDFAB) As a basis for developing holistic strategies in big data adoption,5.81,8.45,4.58,5.77,4.47,4.92,6.49,4.29,7.58
Agile local governments: Experimentation before implementation,4.41,4.23,3.82,5.77,3.62,4.39,6.93,3.56,5.62
Agile Condor: A scalable high performance embedded computing architecture,6.21,4.23,7.38,8.08,6.17,5.62,8.23,5.77,7.82
2017 SIGED International Conference on Information Systems Education and Research,5.01,8.45,5.85,5.38,6.17,5.27,5.19,3.68,6.6
"10th IFIP WG 8.1 Working Conference on the Practice of Enterprise Modelling, PoEM 2017",7.21,11.27,10.43,9.23,9.79,8.61,9.09,7.24,10.02
Agile big data analytics development: An architecture-centric approach,3.41,2.11,3.82,6.54,3.62,3.69,5.63,3.44,3.91
Increasing firm agility through the use of data analytics: The role of fit,7.82,10.56,8.4,12.69,8.3,7.38,9.96,6.75,10.51
"A data-driven strategy for predicting greenness scores, rationally comparing synthetic routes and benchmarking PMI outcomes for the synthesis of molecules in the pharmaceutical industry",7.41,7.04,8.4,7.69,5.74,6.33,7.36,5.4,9.54
Designing a ‘concept of operations’ architecture for next-generation multi-organisational service networks,6.81,6.34,8.14,12.31,6.38,6.15,8.66,6.99,9.78
Adopting flow analytics in software development projects,5.41,8.45,6.62,6.54,7.02,6.15,5.19,5.03,5.87
On the model design of integrated intelligent big data analytics systems,8.22,8.45,9.16,11.92,8.51,7.56,10.39,7.48,9.29
"3rd International Conference on Information Systems Design and Intelligent Applications, INDIA 2016",7.21,9.86,7.38,5.77,7.23,5.45,6.49,4.66,8.56
Big Data—Challenges,5.21,4.93,4.58,6.54,4.47,3.87,4.33,3.8,5.62
Proactive manufacturing-a big-data driven emerging manufacturing paradigm,2.4,2.11,3.05,2.69,3.19,2.46,4.76,2.58,3.67
"Big data strategies for agile business: Framework, practices, and transformation roadmap",3.41,6.34,2.8,3.46,3.19,2.81,4.33,2.33,4.4
Cognitive hyperconnected digital transformation: Internet of things intelligence evolution,10.62,16.2,11.45,15.0,10.64,11.78,16.88,9.2,12.96
Blockchain technology innovations,6.41,9.86,6.62,8.46,5.32,7.03,12.55,6.5,8.8
Earned Value Analysis Deployment in an Enterprise Using BI Software,4.41,5.63,5.6,6.54,5.11,4.22,5.19,3.44,6.36
Time to Market—Enabling the Specific Efficiency and Cooperation in Product Development by the Institutional Role Model,8.82,10.56,9.41,12.31,8.3,9.49,9.96,7.98,9.78
Agility in business intelligence,5.41,9.86,5.6,6.54,4.47,4.75,6.93,4.54,7.33
Effectiveness of agile implementation methods in business intelligence projects from an end-user perspective,7.21,9.86,8.4,9.23,5.53,6.15,7.79,5.15,9.05
Visual analytics in enterprise architecture management: A systematic literature review,4.81,7.04,6.11,7.31,5.11,5.45,6.93,5.4,7.33
Agile visual analytics in data science systems,4.41,2.82,3.05,6.15,4.68,4.92,9.09,4.42,4.4
"How does the pore-throat size control the reservoir quality and oiliness of tight sandstones? The case of the Lower Cretaceous Quantou Formation in the southern Songliao Basin, China",6.81,3.52,7.89,7.31,6.6,7.21,6.06,5.4,6.36
Improving Operational Efficiency of Applications via Cloud Computing,3.41,4.93,3.56,6.54,3.83,3.69,4.33,2.45,3.91
Profit per Hour as a Target Process Control Parameter for Manufacturing Systems Enabled by Big Data Analytics and Industry 4.0 Infrastructure,5.61,5.63,6.11,3.85,7.02,4.92,5.19,4.79,6.11
Health worker focused distributed simulation for improving capability of health systems in Liberia,4.61,3.52,4.83,6.92,5.11,6.68,6.93,4.54,5.87
Architecture for Complex Event Processing Using Open Source Technologies,7.82,8.45,6.11,9.62,6.17,6.15,7.36,6.01,8.56
"Distributing computing in the internet of things: Cloud, fog and edge computing overview",5.21,4.23,6.87,5.0,4.89,6.5,11.26,5.28,6.6
Industrial big data visualization: A case study using flight data recordings to discover the factors affecting the airplane fuel efficiency,4.61,3.52,4.58,6.15,5.53,5.1,6.49,3.93,5.62
Agile analytics: Applying in the development of data warehouse for business intelligence system in higher education,4.61,7.04,4.58,3.46,3.83,2.99,4.33,3.68,5.87
Strong agile metrics: Mining log data to determine predictive power of software metrics for continuous delivery teams,3.01,2.11,4.07,3.85,4.04,2.99,4.76,2.33,3.42
"17th International Conference on Web Engineering, ICWE 2017",4.61,4.93,6.36,6.15,4.89,4.04,6.49,3.93,5.38
Deploying Software Team Analytics in a Multinational Organization,3.61,4.93,4.07,4.23,4.04,4.22,3.03,3.31,4.16
Multi-perspective digitization architecture for the internet of things,5.01,8.45,6.11,6.15,5.96,4.75,9.96,4.54,7.58
Model-based analytics for profiling workloads in virtual network functions,3.41,3.52,4.33,4.62,5.11,3.87,4.76,3.19,3.18
Sparkbench – A spark performance testing suite,5.61,4.93,4.58,4.62,5.53,6.68,4.76,5.4,7.33
Towards methods for systematic research on big data,5.81,5.63,6.36,6.92,5.11,5.98,8.23,4.54,5.13
Big data analytics initiatives using business intelligence maturity model approach in public sector,5.01,7.75,7.38,6.15,5.74,4.22,8.66,5.15,6.36
Advanced big data analytics improves HSE management,7.01,7.75,7.12,6.54,7.23,7.03,7.36,5.89,7.58
Big data analytics in logistics and supply chain management: Certain investigations for research and applications,7.82,11.97,10.18,8.85,9.36,7.56,8.66,6.5,9.54
Library data labs: using an agile approach to develop library analytics in UK higher education,5.41,4.93,6.11,7.69,4.89,5.62,6.93,5.77,8.56
Position paper - Proposal for a scientific software lifecycle model,6.01,4.23,7.89,8.08,7.02,6.68,6.93,5.64,7.33
Local government unit analytics for program planning & policy-making in Caloocan city,2.81,3.52,3.31,3.85,3.4,4.04,5.63,3.19,4.4
Cloud Transformation Analytics Services: A Case Study of Cloud Fitness Validation for Server Migration,4.81,2.11,4.07,5.0,4.26,4.22,6.93,3.44,5.62
Advanced text and video analytics for proactive decision making,7.62,7.75,7.63,9.62,6.17,6.33,7.36,6.26,8.07
Digital Manufacturing and Flexible Assembly Technologies for Reconfigurable Aerospace Production Systems,4.41,5.63,4.33,5.0,4.89,3.69,5.19,4.29,8.07
"Digital transformation at thyssenkrupp: Challenges, strategies and examples",3.81,6.34,3.31,3.85,2.77,3.51,6.49,3.07,4.16
"Utilizing high-performance embedded computing, agile condor, for intelligent processing: An artificial intelligence platform for remotely piloted aircraft",5.01,3.52,5.6,4.23,4.47,4.57,4.76,4.17,6.11
Continuously experiment to assess values early on,4.61,7.04,5.6,6.92,4.89,5.62,6.06,4.29,5.62
What can be learnt from experienced data scientists? A case study,6.21,9.86,5.6,6.92,5.74,6.15,7.36,5.64,7.33
"The quantified self in precarity: Work, technology and what counts",4.21,2.82,3.82,4.62,4.26,3.34,3.03,3.31,4.16
"Proceedings - 2017 IEEE 21st International Enterprise Distributed Object Computing Conference, EDOC 2017",5.61,7.75,8.14,7.69,7.23,5.98,6.06,5.28,9.29
SlicerAstro: A 3-D interactive visual analytics tool for HI data,4.61,2.82,4.83,4.23,4.68,3.69,2.16,4.17,4.16
Agile big data analytics: AnalyticsOps for data science,4.61,4.23,4.58,3.46,5.32,4.22,4.76,4.17,5.87
Capabilities to achieve business intelligence agility - Research model and tentative results,7.21,9.86,9.67,10.38,7.23,6.68,10.82,5.28,10.51
Using Analytics to Guide Improvement during an Agile-DevOps Transformation,5.01,4.93,5.34,5.77,5.96,5.98,3.9,4.42,6.36
Self-Corrective Dynamic Networks via Decentralized Reverse Computations,4.21,4.93,5.34,5.0,3.83,5.27,6.49,4.17,6.6
EFFECTIVENESS of AGILE COMPARED to WATERFALL IMPLEMENTATION METHODS in IT PROJECTS: ANALYSIS BASED on BUSINESS INTELLIGENCE PROJECTS,7.01,9.15,8.14,10.38,4.89,6.15,7.79,5.28,8.8
"Business intelligence competence, agile capabilities, and agile performance in supply chain An empirical study",6.21,5.63,6.62,7.31,7.23,5.27,7.79,5.64,8.56
Taking a different approach to drilling data aggregation to improve drilling performance,8.02,11.97,9.41,8.08,10.0,10.19,9.96,8.1,10.76
Agile analytics: Slicing data warehousing user stories for business value,1.0,2.82,0.76,0.77,0.64,0.7,1.3,0.49,0.98
"17th Americas Conference on Information Systems 2011, AMCIS 2011",13.43,22.54,19.59,21.54,16.38,16.7,19.48,12.76,18.34
Work systems based fractal architecture of information systems,3.81,6.34,3.05,5.77,3.83,3.16,3.9,2.7,3.91
CRASP - a strategic methodology perspective for sustainable value Chain management,6.21,9.15,7.12,10.38,8.51,8.44,9.09,7.24,10.51
